[32m2021-10-19 18:00:30.665 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 25338 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-10-19 18:41:56.910 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[m[32m2021-10-19 18:41:58.574 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 18:41:58.577 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-10-19 18:41:58.665 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 18:41:58.670 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 18:41:58.672 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 82 ms. Found 0 JDBC repository interfaces.
[m[32m2021-10-19 18:41:58.705 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 18:41:58.709 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-10-19 18:41:58.842 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 115 ms. Found 2 JPA repository interfaces.
[m[32m2021-10-19 18:41:59.771 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@54ca8b3a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 18:41:59.781 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 18:42:01.502 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8142 (http)
[m[32m2021-10-19 18:42:01.551 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 18:42:01.553 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-10-19 18:42:01.554 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-10-19 18:42:01.783 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-10-19 18:42:01.784 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 4872 ms
[m[33m2021-10-19 18:42:02.243 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-10-19 18:42:04.873 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Starting...
[m[32m2021-10-19 18:42:08.786 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Start completed.
[m[32m2021-10-19 18:42:15.069 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-10-19 18:42:20.175 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1ea2c1f6, org.springframework.security.web.context.SecurityContextPersistenceFilter@9fc806e, org.springframework.security.web.header.HeaderWriterFilter@e676e2c, org.springframework.web.filter.CorsFilter@3008aee, org.springframework.security.web.authentication.logout.LogoutFilter@5d52531b, com.taller.concesionario.security.jwt.JwtTokenFilter@7725794f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@68dd5724, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69f4128f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f2b2407, org.springframework.security.web.session.SessionManagementFilter@7c5560f2, org.springframework.security.web.access.ExceptionTranslationFilter@50fd76f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@51dec67d]
[m[32m2021-10-19 18:42:21.817 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-10-19 18:42:21.902 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 18:42:22.027 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8142 (http) with context path ''
[m[32m2021-10-19 18:42:22.131 INFO  [ConcesionarioApplication][restartedMain] - Started ConcesionarioApplication in 51.333 seconds (JVM running for 58.853)
[m[32m2021-10-19 19:42:19.941 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 2208 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-10-19 19:42:29.983 INFO  [ConcesionarioApplication][restartedMain] - No active profile set, falling back to default profiles: default
[m[32m2021-10-19 19:42:30.064 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[m[32m2021-10-19 19:42:30.065 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[m[32m2021-10-19 19:42:31.416 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 19:42:31.420 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-10-19 19:42:31.504 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 19:42:31.508 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 19:42:31.510 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 77 ms. Found 0 JDBC repository interfaces.
[m[32m2021-10-19 19:42:31.539 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 19:42:31.541 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-10-19 19:42:31.630 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 77 ms. Found 2 JPA repository interfaces.
[m[32m2021-10-19 19:42:32.408 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@45aa9f06' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 19:42:32.417 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 19:42:33.366 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8142 (http)
[m[32m2021-10-19 19:42:33.400 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 19:42:33.401 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-10-19 19:42:33.402 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-10-19 19:42:33.542 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-10-19 19:42:33.543 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 3477 ms
[m[33m2021-10-19 19:42:33.790 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-10-19 19:42:35.218 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Starting...
[m[32m2021-10-19 19:42:43.132 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Start completed.
[m[32m2021-10-19 19:42:52.784 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-10-19 19:42:55.326 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@58fd9979, org.springframework.security.web.context.SecurityContextPersistenceFilter@550b3ff2, org.springframework.security.web.header.HeaderWriterFilter@11219971, org.springframework.web.filter.CorsFilter@6b74b618, org.springframework.security.web.authentication.logout.LogoutFilter@42e690df, com.taller.concesionario.security.jwt.JwtTokenFilter@6f4001f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46dea9e2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@252bb63a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62540f4a, org.springframework.security.web.session.SessionManagementFilter@7284ba2c, org.springframework.security.web.access.ExceptionTranslationFilter@4c1ef63e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@668603a3]
[m[32m2021-10-19 19:42:56.675 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-10-19 19:42:56.731 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 19:42:56.825 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8142 (http) with context path ''
[m[32m2021-10-19 19:42:56.860 INFO  [ConcesionarioApplication][restartedMain] - Started ConcesionarioApplication in 52.828 seconds (JVM running for 61.052)
[m[32m2021-10-19 19:43:08.615 INFO  [[/]][http-nio-8142-exec-1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[m[32m2021-10-19 19:43:08.615 INFO  [DispatcherServlet][http-nio-8142-exec-1] - Initializing Servlet 'dispatcherServlet'
[m[32m2021-10-19 19:43:08.619 INFO  [DispatcherServlet][http-nio-8142-exec-1] - Completed initialization in 3 ms
[m
